Место:		Сургут
Скважина:	Скважина 555
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	16-05-2021 12:55:45
Завершено:	16-05-2021 13:45:57

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		1703.0		1710.7		1348.2		1367.8		0.0		0.0		0.0		0.0
1	0.5		0.0		1703.0		1710.7		1348.2		1367.8		-0.0		-0.0		0.0		0.0
2	1.0		0.0		1703.0		1712.9		1348.2		1374.4		-0.0		-0.0		0.1		0.0
3	1.5		0.0		1703.0		1712.9		1348.2		1374.4		-0.0		-0.1		0.1		0.0
4	2.0		0.0		1703.2		1712.9		1349.1		1374.4		-0.0		-0.1		0.1		0.0
5	2.5		0.0		1703.2		1714.4		1349.1		1378.9		-0.1		-0.1		0.2		0.0
6	3.0		0.0		1704.4		1714.4		1352.1		1378.9		-0.1		-0.2		0.2		0.0
7	3.5		0.0		1704.4		1714.4		1352.1		1378.9		-0.1		-0.2		0.2		0.0
8	4.0		0.0		1704.4		1713.9		1352.1		1378.1		-0.1		-0.2		0.3		0.0
9	4.5		0.0		1706.1		1713.9		1356.6		1378.1		-0.1		-0.3		0.3		0.0
10	5.0		0.0		1706.1		1713.1		1356.6		1376.8		-0.1		-0.3		0.3		0.0
