Место:		Сургут
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	27-02-2021 14:09:21
Завершено:	15-06-2021 19:24:30

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-1080.6		-1080.3		969.6		968.8		-0.0		0.0		0.0		0.0
1	1.0		0.0		-1080.6		-1080.3		969.6		968.8		-0.0		0.0		0.0		0.0
2	2.0		0.0		-1080.6		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
3	3.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
4	4.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
5	5.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
6	6.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
7	7.0		0.0		-1080.7		-1080.2		969.6		968.7		-0.0		0.0		0.0		0.0
8	8.0		0.0		-1080.6		-1080.2		969.4		968.7		-0.0		0.0		0.0		0.0
9	9.0		0.0		-1080.6		-1080.2		969.4		968.7		-0.0		0.0		0.0		0.0
10	10.0		0.0		-1080.6		-1080.2		969.4		968.7		-0.0		0.0		0.0		0.0
11	11.0		0.0		-1080.6		-1080.2		969.4		968.9		-0.0		0.0		0.0		0.0
12	12.0		0.0		-1080.5		-1080.2		969.1		968.9		-0.0		0.0		0.0		0.0
13	13.0		0.0		-1080.5		-1080.2		969.1		968.9		-0.0		0.0		0.0		0.0
14	14.0		0.0		-1080.5		-1080.3		969.1		969.1		-0.0		0.0		0.0		0.0
15	15.0		0.0		-1080.4		-1080.3		969.0		969.1		-0.0		0.0		0.0		0.0
16	16.0		0.0		-1080.4		-1080.3		969.0		969.1		-0.0		0.0		0.0		0.0
17	17.0		0.0		-1080.4		-1080.4		969.0		969.3		-0.0		0.0		0.0		0.0
18	18.0		0.0		-1080.4		-1080.4		968.9		969.3		-0.0		0.0		0.0		0.0
19	19.0		0.0		-1080.4		-1080.4		968.9		969.3		-0.0		0.0		0.0		0.0
20	20.0		0.0		-1080.5		-1080.4		969.0		969.4		0.0		0.0		0.0		0.0
