Место:		Площадка
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	18
Создано:	03-04-2022 14:24:54
Завершено:	03-04-2022 14:31:10

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-839.5		-839.7		644.7		644.5		10.0		10.0		14.1		0.0
1	0.0		0.0		-900.0		-839.7		644.6		644.5		10.0		10.0		14.1		0.0
2	0.0		0.0		-839.6		-839.7		644.6		644.5		10.0		10.0		14.1		0.0
3	0.0		0.0		-839.7		-839.7		644.6		644.6		10.0		10.0		14.1		0.0
4	0.0		0.0		-839.7		-839.7		644.6		644.6		10.0		10.0		14.1		0.0
5	0.0		0.0		-839.7		-839.6		644.6		644.6		10.0		10.0		14.1		0.0
6	0.0		0.0		-1200.0		-839.6		644.6		644.6		10.0		10.0		14.1		0.0
7	0.0		0.0		-839.6		-839.6		644.6		644.6		10.0		10.0		14.1		0.0
8	0.0		0.0		-839.6		-839.5		644.6		644.7		10.0		10.0		14.1		0.0
9	0.0		0.0		-839.5		-839.5		644.7		644.7		10.0		10.0		14.1		0.0
10	0.0		0.0		-839.5		-839.5		644.7		644.7		10.0		10.0		14.1		0.0
11	0.0		0.0		-839.5		-839.5		644.7		644.7		10.0		10.0		14.1		0.0
12	0.0		0.0		-839.5		-839.6		644.7		644.6		10.0		10.0		14.1		0.0
13	0.0		0.0		-1300.0		-839.6		644.7		644.6		10.0		10.0		14.1		0.0
14	0.0		0.0		-839.6		-839.6		644.6		644.6		10.0		10.0		14.1		0.0
15	0.0		0.0		-839.6		-839.7		644.6		644.6		10.0		10.0		14.1		0.0
16	0.0		0.0		-839.6		-839.7		644.6		644.6		10.0		10.0		14.1		0.0
17	0.0		0.0		-839.6		-839.7		644.6		644.5		10.0		10.0		14.1		0.0
18	0.0		0.0		-839.6		-839.7		644.6		644.5		10.0		10.0		14.1		0.0
19	0.0		0.0		-839.6		-839.6		644.6		644.6		10.0		10.0		14.1		0.0
20	0.0		0.0		-2000.0		-839.7		644.6		644.6		10.0		10.0		14.1		0.0
