Место:		тест 1
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	27-02-2021 14:09:21
Завершено:	17-06-2021 14:56:01

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-1080.6		-1080.3		969.6		968.8		0.0		0.0		0.0		0.0
1	1.0		0.0		-1080.6		-1080.3		969.6		968.8		-0.0		0.0		0.0		0.0
2	2.0		0.0		-1080.6		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
3	3.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
4	4.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
5	5.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
6	6.0		0.0		-1080.7		-1080.2		969.6		968.6		-0.0		0.0		0.0		0.0
7	7.0		0.0		-1080.7		-1080.2		969.6		968.7		-0.0		0.0		0.0		0.0
8	8.0		0.0		-1080.6		-1080.2		969.4		968.7		-0.0		0.0		0.0		0.0
