Место:		Площадка тестовая 1
Скважина:	Скважина №1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	19-02-2021 18:42:43
Завершено:	16-02-2022 20:08:01

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-67.8		-122.4		520.0		728.8		0.0		0.0		0.0		0.0
1	4.0		4.5		-102.6		-106.5		639.2		622.7		0.5		-2.0		2.1		0.0
2	44.5		33.4		-80.2		-106.8		544.9		623.8		0.9		-0.4		1.0		0.0
3	16.5		0.0		-96.0		-106.8		604.1		623.8		-0.9		5.0		5.0		0.0
4	22.0		0.0		-88.4		-106.9		575.6		624.4		-0.7		4.7		4.7		0.0
5	27.5		0.0		-103.8		-106.9		614.9		624.4		-0.5		4.0		4.1		0.0
6	33.0		0.0		-104.0		-107.0		614.9		624.8		-0.5		3.9		3.9		0.0
7	38.5		0.0		-104.1		-74.2		615.0		533.7		-0.4		3.8		3.8		0.0
8	44.0		0.0		-104.1		-74.4		614.9		534.5		-0.8		4.9		4.9		0.0
9	49.5		0.0		-104.1		-74.8		614.9		535.9		-1.2		5.9		6.1		0.0
10	55.0		0.0		-104.4		-75.2		615.6		538.0		-1.6		7.0		7.2		0.0
11	60.5		0.0		-102.4		-102.8		682.0		686.6		-2.0		8.0		8.3		0.0
12	66.0		0.0		-102.5		-102.8		682.5		686.6		-2.0		8.0		8.2		0.0
13	71.5		0.0		-86.1		-102.8		766.1		686.6		-2.0		7.9		8.2		0.0
14	77.0		0.0		-102.5		-102.8		683.0		687.0		-1.8		9.0		9.1		0.0
15	82.5		0.0		-102.5		-102.8		683.0		687.0		-1.8		8.9		9.1		0.0
16	88.0		0.0		-102.5		-102.8		683.6		687.4		-1.8		8.9		9.0		0.0
17	93.5		0.0		-102.5		-102.8		683.6		687.4		-1.8		8.8		9.0		0.0
18	99.0		0.0		-102.5		-102.8		684.2		687.4		-1.7		8.8		8.9		0.0
19	104.5		0.0		-102.5		-102.8		684.2		687.5		-1.7		8.7		8.9		0.0
20	110.0		0.0		-102.6		-102.8		684.9		687.5		-1.7		8.7		8.8		0.0
