Место:		Уренгой
Скважина:	Скважина #1
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	НЕТ
Измерение:	1
Создано:	18-02-2021 21:12:17
Завершено:	18-02-2021 21:15:32

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000
1	5.000		0.100		-65.746		-67.375		689.531		695.116		0.020		-0.068		0.071		0.000
2	10.000		0.100		-66.104		-67.374		691.030		695.099		0.035		-0.117		0.122		0.000
3	15.000		0.100		-66.104		-67.374		691.030		695.099		0.051		-0.166		0.174		0.000
4	20.000		0.100		-66.300		-67.326		691.810		694.886		0.063		-0.204		0.213		0.000
5	25.000		0.100		-66.485		-67.303		692.540		694.706		0.073		-0.230		0.241		0.000
6	30.000		0.100		-66.485		-67.303		692.540		694.706		0.083		-0.256		0.269		0.000
7	35.000		0.100		-66.617		-67.318		693.056		694.705		0.091		-0.276		0.291		0.000
8	40.000		0.100		-66.730		-67.358		693.440		694.815		0.099		-0.293		0.309		0.000
9	45.000		0.100		-66.885		-67.392		693.918		694.910		0.105		-0.305		0.322		0.000
10	50.000		0.100		-67.050		-67.383		694.451		694.867		0.109		-0.310		0.328		0.000
11	55.000		0.100		-67.154		-67.383		694.787		694.867		0.112		-0.311		0.330		0.000
12	60.000		0.100		-67.154		-67.348		694.787		694.714		0.114		-0.310		0.330		0.000
13	65.000		0.100		-67.167		-67.326		694.767		694.603		0.116		-0.308		0.329		0.000
14	70.000		0.100		-67.112		-67.326		694.521		694.603		0.119		-0.309		0.331		0.000
15	75.000		0.100		-67.083		-67.333		694.389		694.608		0.122		-0.312		0.335		0.000
16	80.000		0.100		-67.134		-67.366		694.564		694.683		0.125		-0.313		0.337		0.000
17	85.000		0.100		-67.134		-67.385		694.564		694.707		0.128		-0.315		0.340		0.000
18	90.000		0.100		-67.210		-67.385		694.902		694.707		0.130		-0.312		0.338		0.000
19	95.000		0.100		-67.262		-67.365		695.152		694.605		0.131		-0.306		0.333		0.000
20	100.000		0.100		-67.272		-67.327		695.181		694.462		0.132		-0.297		0.325		0.000
