Место:		Сургут
Скважина:	Скважина1
Направление:	ВЕРТИКАЛЬНАЯ
Один проход:	НЕТ
Измерение:	2
Создано:	27-02-2021 14:10:05
Завершено:	15-06-2021 19:24:30

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		-1097.4		-1096.1		982.9		981.5		-0.0		0.0		0.0		0.0
1	1.0		0.0		-1097.4		-1096.1		983.2		981.5		-0.0		0.0		0.0		0.0
2	2.0		0.0		-1097.4		-1096.1		983.2		981.5		-0.0		0.0		0.0		0.0
3	3.0		0.0		-1097.4		-1096.1		983.2		981.4		-0.0		0.0		0.0		0.0
4	4.0		0.0		-1097.3		-1096.1		983.1		981.4		-0.0		0.0		0.0		0.0
5	5.0		0.0		-1096.9		-1096.1		982.6		981.4		-0.0		0.0		0.0		0.0
6	6.0		0.0		-1096.9		-1095.9		982.6		981.2		-0.0		0.0		0.0		0.0
7	7.0		0.0		-1096.2		-1095.9		981.5		981.2		-0.0		0.0		0.0		0.0
8	8.0		0.0		-1095.8		-1095.9		980.8		981.2		-0.0		0.0		0.0		0.0
9	9.0		0.0		-1095.8		-1095.8		980.8		981.0		-0.0		0.0		0.0		0.0
10	10.0		0.0		-1095.8		-1095.8		980.8		981.0		-0.0		0.0		0.0		0.0
11	11.0		0.0		-1095.8		-1095.8		980.8		981.0		-0.0		0.0		0.0		0.0
12	12.0		0.0		-1096.0		-1095.8		981.0		980.7		-0.0		0.0		0.0		0.0
13	13.0		0.0		-1096.0		-1095.8		981.0		980.7		-0.0		0.0		0.0		0.0
14	14.0		0.0		-1096.0		-1095.8		981.0		980.7		-0.0		0.0		0.0		0.0
15	15.0		0.0		-1096.1		-1095.8		981.2		980.5		-0.0		0.0		0.0		0.0
16	16.0		0.0		-1096.1		-1095.8		981.2		980.5		-0.0		0.0		0.0		0.0
17	17.0		0.0		-1096.1		-1095.8		981.2		980.5		-0.0		0.0		0.0		0.0
18	18.0		0.0		-1096.2		-1095.8		981.4		980.3		-0.0		0.0		0.0		0.0
19	19.0		0.0		-1096.2		-1095.8		981.4		980.3		-0.0		0.0		0.0		0.0
20	20.0		0.0		-1096.2		-1095.8		981.5		980.2		0.0		0.0		0.0		0.0
